#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
7500,-374621.3533250519,289.2326350390409,20.07485804375201,0.9545452149470776
7600,-374710.8366590439,292.8895944934261,20.07485804375201,0.9545452149470776
7700,-374681.52488330903,286.4304707533744,20.07485804375201,0.9545452149470776
7800,-374669.82498028106,288.65206824187635,20.07485804375201,0.9545452149470776
7900,-374968.1411916001,305.26103250636453,20.07485804375201,0.9545452149470776
8000,-374733.68121772475,293.91371461830437,20.07485804375201,0.9545452149470776
8100,-374494.22600218456,289.9690509694207,20.07485804375201,0.9545452149470776
8200,-374446.555893922,287.24313163181307,20.07485804375201,0.9545452149470776
8300,-374621.5767675572,304.184883654787,20.07485804375201,0.9545452149470776
8400,-374476.0434109559,296.02591776037394,20.07485804375201,0.9545452149470776
8500,-374482.33471816126,303.77423508565255,20.07485804375201,0.9545452149470776
